"Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Channel9","Channel10","Channel11","Channel12","Channel13","Channel14","Channel15","Channel16","Channel17","Channel18","Channel19","Channel20","Channel21","Channel22","Channel23","Channel24","Channel25","Channel26","Channel27","Channel28","Channel29","Channel30","Channel31","Channel32","Channel33","Channel34","Channel35","Channel36","Channel37","Channel38","Channel39","Channel40","Channel41","Channel42","Channel43","Channel44","Channel45","Channel46","Channel47","Channel48","Channel49","Channel50","Channel51","Channel52","Channel53","Channel54","Channel55","Channel56","Channel57","Channel58","Channel59","Channel60","Channel61","Channel62","Channel63","Channel64","Channel65","Channel66","Channel67","Channel68","Channel69","Channel70","Channel71","Channel72","Channel73","Channel74","Channel75","Channel76","Channel77","Channel78","Channel79","Channel80","Channel81","Channel82","Channel83","Channel84","Channel85","Channel86","Channel87","Channel88","Channel89","Channel90","Channel91","Channel92","Channel93","Channel94","Channel95","Channel96","Channel97","Channel98","Channel99","Channel100","Channel101","Channel102","Channel103","Channel104","Channel105","Channel106","Channel107","Channel108","Channel109","Channel110","Channel111","Channel112","Channel113","Channel114","Channel115","Channel116","Channel117","Channel118","Channel119","Channel120","Channel121","Channel122","Channel123","Channel124","Channel125","Channel126","Channel127","Channel128"
8,27,83,143,127,113,91,78,57,50,51,50,35,20,38,24,32,19,16,14,9,18,12,7,10,11,9,9,16,8,6,8,5,3,7,8,5,10,3,2,2,2,2,2,2,4,3,5,5,4,1,1,6,4,1,2,1,6,2,4,0,2,2,3,3,1,2,2,3,8,4,6,4,0,0,1,2,1,0,0,0,1,2,0,0,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
7,22,101,136,124,114,81,81,63,47,42,42,29,24,40,23,29,23,14,7,14,4,10,8,9,11,9,7,6,16,6,10,3,1,6,9,6,4,4,3,2,2,2,5,9,5,4,2,2,4,5,3,5,4,4,3,8,1,3,3,1,2,0,0,3,2,2,5,1,1,6,2,3,2,1,1,3,0,2,1,1,0,2,1,2,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
12,29,76,151,149,97,84,65,69,70,42,36,37,28,22,15,21,26,21,17,16,7,3,7,10,16,5,18,8,16,12,5,6,3,1,1,6,3,5,4,4,4,3,5,7,4,3,1,1,1,4,3,6,4,3,2,1,3,4,1,1,1,1,2,3,3,4,2,4,4,5,0,4,2,2,1,0,1,1,1,3,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1
7,21,83,135,130,94,82,75,58,38,51,33,23,32,29,16,21,24,12,12,9,5,10,10,6,8,5,11,12,12,6,4,4,7,7,6,7,1,3,2,2,9,6,3,3,4,6,5,2,5,3,3,4,2,5,3,5,1,5,3,2,1,5,0,1,1,2,1,2,6,10,3,8,3,1,0,3,2,1,0,1,1,0,2,0,2,3,2,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,25,96,158,126,111,84,65,56,46,37,39,38,27,24,28,22,13,18,8,12,9,12,10,4,11,8,6,8,15,6,6,5,5,4,7,2,5,8,6,6,4,4,6,6,4,6,0,3,1,2,3,3,4,1,3,2,4,0,3,5,2,3,5,1,1,0,6,2,3,6,5,2,2,2,2,0,0,1,1,1,1,2,0,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,18,80,128,103,100,98,74,61,32,48,52,32,29,17,24,24,20,14,9,9,7,4,15,11,5,10,13,14,17,6,8,5,7,4,0,4,6,2,3,5,7,2,4,4,3,4,7,2,7,2,3,5,2,1,2,1,3,5,3,2,0,0,1,0,2,2,0,1,3,3,5,2,3,2,0,2,0,0,0,2,0,0,0,1,2,2,1,5,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
6,20,72,110,148,97,92,71,45,48,43,38,36,20,31,17,21,15,16,12,15,13,9,5,10,7,8,6,14,11,6,4,4,6,3,5,6,2,4,6,5,5,4,3,8,3,3,3,0,4,1,2,1,1,0,4,1,1,1,1,1,0,1,2,2,1,2,3,3,7,3,2,1,3,1,3,0,0,3,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,21,84,131,109,104,75,83,58,40,47,24,35,30,23,25,28,20,8,11,8,12,7,8,8,3,7,12,6,12,12,3,2,2,4,5,4,3,3,1,0,2,4,4,2,1,2,6,1,2,3,0,0,3,3,4,6,1,1,3,0,2,2,0,2,0,3,2,4,8,4,9,2,2,2,0,2,0,0,2,0,0,1,3,0,3,2,1,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
7,24,76,114,93,94,91,41,55,41,38,38,24,27,22,20,18,11,14,11,9,3,9,8,6,8,8,11,13,10,9,3,5,2,1,6,11,4,2,2,3,3,2,2,3,3,4,0,1,1,4,2,1,4,6,1,2,2,0,2,0,0,0,2,0,2,3,3,2,3,3,4,2,0,1,2,0,1,0,0,0,1,2,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
6,30,84,115,79,88,79,82,47,37,45,45,29,27,22,15,13,19,11,11,10,10,5,8,8,8,8,9,7,7,4,6,4,5,5,5,7,7,5,2,0,2,1,3,0,0,5,3,2,1,1,1,3,2,2,2,2,2,3,2,1,0,1,1,1,3,2,2,2,4,4,1,3,1,0,1,1,1,1,2,0,1,2,3,3,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,3,1
3,17,81,114,112,80,61,66,45,31,32,42,26,25,29,19,19,16,15,12,15,9,9,5,7,7,7,7,14,9,6,5,2,2,3,3,3,1,5,5,3,1,1,3,3,4,3,0,6,2,3,3,6,1,3,3,3,1,0,0,1,2,0,0,2,2,1,2,4,3,3,3,4,1,0,3,2,0,1,1,1,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,1,1,0
7,19,56,120,101,75,76,53,60,39,43,27,27,21,19,18,11,26,9,9,7,6,4,7,11,4,9,6,4,10,11,1,5,2,0,4,2,1,1,4,4,2,2,5,2,3,5,0,1,1,1,2,4,1,5,4,5,2,2,3,3,1,0,1,0,4,3,2,1,1,3,2,3,1,1,0,1,0,0,1,1,1,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3,28,64,92,103,74,69,54,38,44,23,30,24,23,16,11,24,16,11,9,4,14,9,2,7,8,9,7,6,11,9,5,3,2,3,4,6,3,4,2,6,1,1,2,3,2,3,5,0,5,2,3,1,3,2,3,1,2,1,1,1,1,1,0,3,2,2,0,4,2,4,3,2,5,1,0,0,0,0,0,0,0,1,2,1,2,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
6,26,54,115,84,84,69,68,51,26,40,43,29,19,19,17,24,17,15,9,3,13,7,7,8,6,4,5,14,10,10,5,4,5,3,3,1,8,8,3,3,4,1,3,3,3,1,1,2,4,0,0,1,3,3,1,4,4,3,2,5,1,2,3,0,2,0,0,3,3,3,1,2,2,0,0,0,2,2,0,1,0,3,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,23,70,138,95,64,60,51,43,27,40,32,25,24,10,17,14,17,8,7,11,2,5,5,5,10,7,13,15,8,8,8,5,4,0,4,3,3,3,5,0,2,2,2,1,9,3,4,2,4,0,4,2,2,1,1,0,2,0,2,1,3,2,4,1,2,1,4,2,5,3,1,3,0,0,1,2,1,0,0,1,0,2,1,2,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
7,22,69,98,100,73,77,55,34,43,37,29,28,22,22,18,22,13,12,15,10,7,5,11,3,4,5,5,9,13,5,2,2,1,1,2,5,2,3,6,1,3,1,1,4,1,0,3,2,2,1,2,1,1,1,1,1,2,1,1,3,2,1,0,4,0,1,3,5,0,7,1,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0
5,20,50,102,91,65,68,54,40,39,40,20,18,24,29,9,18,14,12,13,5,6,8,6,6,5,7,4,9,12,5,2,2,0,3,4,5,6,3,5,3,2,3,0,3,0,2,4,3,0,2,1,3,5,3,5,6,2,0,2,1,1,3,0,0,3,0,4,5,4,2,2,3,1,0,0,0,0,0,0,2,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,14,55,111,82,84,53,50,39,39,29,19,27,21,20,14,15,21,11,6,7,5,7,10,4,2,10,6,5,9,10,3,3,3,3,1,4,6,3,3,2,4,5,3,0,3,3,1,1,1,1,2,4,2,5,2,3,0,1,0,4,1,0,0,1,1,3,1,3,2,3,3,5,0,0,2,0,1,3,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
7,29,73,96,102,79,55,46,44,31,32,36,25,16,22,17,15,12,13,11,8,7,11,8,2,5,2,7,4,7,9,1,4,3,3,1,4,6,4,3,3,1,2,4,1,2,3,1,1,0,3,2,0,1,2,0,0,0,0,3,1,0,1,0,1,2,2,1,3,1,10,5,4,1,2,1,1,0,0,0,1,0,1,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,18,52,86,86,59,65,45,37,37,31,38,20,21,14,14,16,14,11,11,6,3,3,6,3,11,7,7,9,11,10,4,2,4,3,3,3,8,2,1,4,0,0,5,9,2,4,1,4,3,3,2,1,2,4,2,0,0,1,0,2,5,0,3,1,1,2,2,3,2,1,3,1,1,0,1,0,2,1,0,0,1,1,1,4,1,2,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2,27,65,93,93,81,57,45,35,28,36,41,18,26,19,25,18,11,7,12,9,7,7,7,4,4,5,8,6,6,7,3,2,0,5,2,1,2,3,5,4,2,2,2,6,4,1,3,4,0,2,1,3,0,1,4,3,1,1,2,3,0,0,0,0,2,1,0,3,4,3,5,1,2,1,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
3,15,57,101,77,69,70,50,28,29,26,24,29,16,18,15,14,10,8,6,3,9,7,7,7,3,2,10,10,14,7,5,3,7,5,3,6,2,1,3,4,1,2,1,2,1,4,1,2,1,0,1,2,1,1,1,4,4,1,1,0,3,2,0,0,2,1,3,1,4,2,3,2,0,1,0,0,0,0,2,1,0,0,2,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,66,105,91,62,58,42,45,42,26,29,24,19,10,16,14,13,10,8,10,5,9,2,11,8,6,5,7,11,6,3,5,2,1,2,2,4,2,4,2,4,5,3,3,4,2,2,1,1,0,2,0,4,2,3,1,3,3,1,0,1,0,0,3,0,1,2,0,6,8,3,4,0,0,0,0,0,2,1,0,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0
4,16,67,91,76,51,43,28,46,31,34,28,17,23,14,21,12,10,8,5,7,2,7,5,3,8,12,8,4,10,9,6,5,4,2,3,4,5,0,4,2,2,3,2,2,2,1,2,1,2,1,1,2,1,5,2,3,2,0,1,2,1,0,1,1,0,2,2,1,4,2,4,4,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6,14,54,79,100,72,53,47,40,31,24,26,21,25,20,16,11,6,13,15,8,5,5,9,4,8,1,6,5,14,6,4,3,1,2,1,4,3,5,2,1,3,4,0,1,7,2,1,3,3,4,1,1,1,1,3,0,2,0,1,3,0,0,1,1,0,1,0,5,4,3,3,2,3,3,1,2,1,0,0,0,1,0,1,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4,21,65,87,84,67,60,46,46,38,24,20,24,13,14,16,19,18,11,4,4,4,6,5,4,5,3,3,8,11,9,3,4,4,3,3,2,4,2,3,3,1,2,5,3,4,0,4,1,0,1,2,2,1,2,1,0,3,0,0,1,0,1,0,0,1,0,2,2,6,4,5,0,2,2,2,1,1,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,19,72,94,77,64,50,38,30,30,34,20,10,23,16,14,15,8,12,7,4,9,4,4,5,6,5,6,7,9,4,5,3,2,4,1,3,1,3,2,5,4,0,2,0,3,2,2,1,1,1,3,3,1,2,0,2,2,7,1,3,0,1,0,1,1,5,0,2,4,1,1,3,3,1,0,1,0,0,0,0,1,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
8,12,59,100,70,66,48,39,48,27,34,23,23,30,10,8,11,13,7,11,7,4,4,6,5,7,5,3,8,8,6,2,1,2,2,2,5,3,3,4,3,1,3,0,2,6,1,6,1,1,0,1,1,4,3,2,2,0,2,4,0,0,1,0,1,0,2,2,1,2,4,3,1,1,2,3,0,1,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,12,74,84,78,53,53,40,39,37,29,17,16,28,16,17,19,12,8,8,4,5,5,8,6,2,2,4,4,11,5,0,4,4,0,3,1,1,5,2,1,1,2,7,2,1,1,1,0,2,3,1,3,1,2,1,0,2,4,2,1,1,0,0,1,1,0,5,1,2,4,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
6,18,54,72,76,53,44,41,27,30,28,24,10,14,13,19,21,11,10,4,4,10,3,4,4,3,3,4,5,4,5,0,4,3,1,0,1,0,3,1,1,0,3,1,4,3,3,4,4,2,5,0,1,1,0,2,6,2,0,2,0,0,2,1,0,0,2,2,1,1,4,2,2,1,0,0,0,2,0,0,1,2,0,0,1,2,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
8,15,52,97,81,68,58,38,35,24,25,28,16,10,18,17,14,9,11,5,6,6,4,7,3,4,3,7,6,9,9,2,3,4,2,2,0,3,5,4,2,1,0,1,1,1,1,1,3,1,3,1,1,0,1,1,2,1,2,1,1,1,1,4,0,1,0,5,1,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,21,57,78,66,60,43,44,39,27,37,26,18,11,10,15,9,12,8,5,9,8,6,5,6,8,4,4,4,11,3,2,2,3,1,0,5,1,0,5,3,2,1,4,1,0,5,3,3,2,2,1,1,3,2,1,0,0,0,1,1,0,4,3,1,0,4,3,3,6,3,1,2,1,1,2,1,0,0,1,2,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,29,56,90,84,80,58,49,34,29,16,21,24,20,14,8,14,15,9,7,8,8,3,6,4,4,5,4,6,11,5,4,1,1,5,3,1,2,1,2,0,2,0,4,4,3,2,1,3,0,1,3,1,3,6,2,4,0,3,1,2,1,1,1,0,1,0,2,1,1,4,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,24,70,64,67,69,46,44,30,23,24,34,16,21,25,15,13,11,8,7,5,4,5,2,5,4,7,2,10,6,3,7,1,5,2,2,2,3,3,0,3,3,2,3,1,1,4,1,2,0,3,3,1,4,4,1,1,1,0,1,0,0,0,0,1,1,3,1,2,2,2,6,5,2,1,0,1,1,2,0,1,0,2,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,15,68,69,71,57,70,49,44,31,18,29,17,23,11,17,10,13,4,8,2,7,3,7,5,7,5,7,7,7,4,7,0,3,2,3,7,0,2,1,4,1,1,3,2,2,3,1,1,2,2,0,3,4,3,2,4,1,1,3,2,1,0,1,0,0,3,1,0,2,1,3,2,3,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,25,52,89,79,61,58,53,34,33,29,22,15,25,12,11,17,9,7,5,4,8,1,5,5,4,8,5,7,7,3,4,1,4,2,4,0,4,4,3,1,6,0,3,2,2,2,3,1,3,1,2,5,0,1,0,1,1,4,0,0,2,0,0,2,0,1,1,3,4,4,1,1,1,0,2,1,1,1,0,0,0,0,1,2,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0
2,18,58,97,85,44,53,47,28,34,24,24,16,18,11,12,9,10,5,7,8,8,4,4,7,7,3,4,5,1,4,7,2,4,2,3,4,7,3,3,4,1,4,1,3,3,1,3,1,2,2,0,0,0,2,5,0,0,1,1,1,3,0,0,1,0,2,0,0,6,2,2,1,1,1,1,1,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2,15,69,89,99,60,46,28,29,30,27,30,15,23,18,12,9,21,8,7,5,8,8,10,3,5,8,8,5,9,9,4,1,4,3,1,5,3,2,1,3,3,1,3,3,1,2,3,3,0,1,1,1,1,0,1,2,0,1,0,1,2,1,1,1,1,2,2,1,3,4,3,3,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,2,1,0,0
2,16,62,87,69,79,50,48,39,26,24,27,18,20,18,22,18,12,9,6,11,9,7,4,7,4,2,5,12,5,7,1,2,2,2,2,3,0,1,1,2,4,3,2,2,2,3,3,1,0,4,1,1,1,2,1,3,1,3,2,0,0,1,0,0,3,0,2,2,1,2,0,1,0,0,1,1,0,0,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
