RunID,SourceID,SourceTime,
100121,6,37.81,
100122,4,49.31,
100123,0,0.00,
100124,0,0.00,
100125,6,69.16,
100126,0,0.00,
100127,0,0.00,
100128,5,122.10,
100129,0,0.00,
100130,1,43.72,
100131,4,35.07,
100132,5,72.10,
100133,0,0.00,
100134,3,58.17,
100135,0,0.00,
100136,0,0.00,
100137,5,107.79,
100138,2,35.32,
100139,3,43.80,
100140,0,0.00,
100141,0,0.00,
100142,0,0.00,
100143,0,0.00,
100144,1,136.73,
100145,6,71.11,
100146,0,0.00,
100147,0,0.00,
100148,3,42.08,
100149,4,49.49,
100150,0,0.00,
100151,6,36.23,
100152,5,73.58,
100153,3,60.94,
100154,0,0.00,
100155,2,200.07,
100156,6,39.36,
100157,0,0.00,
100158,1,73.57,
100159,0,0.00,
100160,0,0.00,
100161,3,46.78,
100162,4,130.58,
100163,3,38.23,
100164,0,0.00,
100165,0,0.00,
100166,4,62.84,
100167,0,0.00,
100168,0,0.00,
100169,6,36.89,
100170,0,0.00,
100171,0,0.00,
100172,0,0.00,
100173,0,0.00,
100174,5,37.77,
100175,2,84.76,
100176,1,58.54,
100177,4,60.38,
100178,3,57.85,
100179,3,52.21,
100180,0,0.00,
100181,6,38.90,
100182,0,0.00,
100183,0,0.00,
100184,3,40.68,
100185,0,0.00,
100186,0,0.00,
100187,0,0.00,
100188,0,0.00,
100189,0,0.00,
100190,0,0.00,
100191,3,58.01,
100192,5,37.55,
100193,3,305.68,
100194,2,36.78,
100195,2,78.47,
100196,5,35.45,
100197,6,81.94,
100198,0,0.00,
100199,4,180.43,
100200,4,38.72,
100201,0,0.00,
100202,0,0.00,
100203,0,0.00,
100204,0,0.00,
100205,5,41.59,
100206,0,0.00,
100207,1,65.91,
100208,1,30.10,
100209,0,0.00,
100210,5,35.47,
100211,0,0.00,
100212,0,0.00,
100213,5,64.10,
100214,0,0.00,
100215,6,56.23,
100216,2,53.09,
100217,0,0.00,
100218,0,0.00,
100219,6,544.60,
100220,1,74.99,
100221,1,57.35,
100222,0,0.00,
100223,0,0.00,
100224,6,58.70,
100225,0,0.00,
100226,0,0.00,
100227,0,0.00,
100228,6,49.94,
100229,4,93.61,
100230,5,32.53,
100231,3,51.05,
100232,6,295.53,
100233,0,0.00,
100234,2,43.71,
100235,3,34.54,
100236,4,58.82,
100237,1,90.58,
100238,3,73.27,
100239,0,0.00,
100240,5,95.77,
100241,0,0.00,
100242,0,0.00,
100243,6,190.05,
100244,2,288.97,
100245,0,0.00,
100246,5,47.00,
100247,0,0.00,
100248,0,0.00,
100249,0,0.00,
100250,0,0.00,
100251,0,0.00,
100252,5,46.81,
100253,6,41.88,
100254,0,0.00,
100255,0,0.00,
100256,0,0.00,
100257,4,46.94,
100258,4,73.14,
100259,0,0.00,
100260,3,43.61,
100261,0,0.00,
100262,3,45.27,
100263,0,0.00,
100264,0,0.00,
100265,0,0.00,
100266,0,0.00,
100267,0,0.00,
100268,3,41.87,
100269,0,0.00,
100270,2,47.46,
100271,5,32.43,
100272,4,103.20,
100273,0,0.00,
100274,0,0.00,
100275,2,87.59,
100276,2,46.38,
100277,1,34.61,
100278,1,39.30,
100279,3,38.64,
100280,6,48.88,
100281,0,0.00,
100282,0,0.00,
100283,0,0.00,
100284,0,0.00,
100285,6,183.45,
100286,0,0.00,
100287,0,0.00,
100288,0,0.00,
100289,1,152.89,
100290,0,0.00,
100291,0,0.00,
100292,5,38.54,
100293,1,68.71,
100294,4,50.75,
100295,0,0.00,
100296,5,62.84,
100297,3,56.98,
100298,0,0.00,
100299,0,0.00,
100300,4,39.33,
100301,0,0.00,
100302,0,0.00,
100303,5,56.50,
100304,0,0.00,
100305,1,85.45,
100306,0,0.00,
100307,0,0.00,
100308,0,0.00,
100309,0,0.00,
100310,0,0.00,
100311,3,40.04,
100312,0,0.00,
100313,0,0.00,
100314,2,33.35,
100315,0,0.00,
100316,4,43.34,
100317,1,37.91,
100318,3,48.99,
100319,0,0.00,
100320,0,0.00,
100321,0,0.00,
100322,0,0.00,
100323,2,161.18,
100324,6,50.65,
100325,0,0.00,
100326,0,0.00,
100327,0,0.00,
100328,0,0.00,
100329,3,43.98,
100330,0,0.00,
100331,0,0.00,
100332,6,38.95,
100333,0,0.00,
100334,0,0.00,
100335,0,0.00,
100336,0,0.00,
100337,0,0.00,
100338,0,0.00,
100339,0,0.00,
100340,3,58.13,
100341,0,0.00,
100342,0,0.00,
100343,4,46.51,
100344,4,62.27,
100345,0,0.00,
100346,2,60.23,
100347,0,0.00,
100348,0,0.00,
100349,3,115.03,
100350,0,0.00,
100351,0,0.00,
100352,0,0.00,
100353,4,84.94,
100354,0,0.00,
100355,1,200.39,
100356,0,0.00,
100357,0,0.00,
100358,1,66.55,
100359,4,67.31,
100360,0,0.00,
100361,2,32.50,
100362,0,0.00,
100363,3,47.34,
100364,0,0.00,
100365,0,0.00,
100366,0,0.00,
100367,0,0.00,
100368,3,60.07,
100369,0,0.00,
100370,6,36.82,
100371,0,0.00,
100372,0,0.00,
100373,5,80.33,
100374,4,31.51,
100375,0,0.00,
100376,0,0.00,
100377,5,71.19,
100378,5,192.03,
100379,0,0.00,
100380,1,62.50,
100381,5,85.95,
100382,6,31.15,
100383,6,39.28,
100384,2,85.61,
100385,6,43.58,
100386,4,53.29,
100387,0,0.00,
100388,1,62.85,
100389,4,51.43,
100390,0,0.00,
100391,0,0.00,
100392,0,0.00,
100393,2,46.84,
100394,6,43.30,
100395,4,50.78,
100396,3,35.59,
100397,0,0.00,
100398,0,0.00,
100399,0,0.00,
100400,0,0.00,
100401,0,0.00,
100402,0,0.00,
100403,6,33.80,
100404,1,61.01,
100405,5,47.28,
100406,0,0.00,
100407,0,0.00,
100408,0,0.00,
100409,4,33.89,
100410,0,0.00,
100411,0,0.00,
100412,0,0.00,
100413,0,0.00,
100414,4,78.09,
100415,6,112.60,
100416,2,65.68,
100417,0,0.00,
100418,5,95.05,
100419,0,0.00,
100420,6,40.92,
100421,0,0.00,
100422,0,0.00,
100423,0,0.00,
100424,0,0.00,
100425,0,0.00,
100426,4,170.90,
100427,0,0.00,
100428,0,0.00,
100429,0,0.00,
100430,0,0.00,
100431,0,0.00,
100432,5,58.36,
100433,0,0.00,
100434,0,0.00,
100435,6,43.51,
100436,4,41.61,
100437,2,49.08,
100438,0,0.00,
100439,0,0.00,
100440,4,40.45,
100441,0,0.00,
100442,0,0.00,
100443,0,0.00,
100444,0,0.00,
100445,2,56.56,
100446,3,39.26,
100447,1,42.69,
100448,0,0.00,
100449,0,0.00,
100450,5,73.43,
100451,0,0.00,
100452,0,0.00,
100453,4,79.29,
100454,0,0.00,
100455,0,0.00,
100456,0,0.00,
100457,0,0.00,
100458,3,40.34,
100459,5,38.86,
100460,2,52.73,
100461,0,0.00,
100462,0,0.00,
100463,5,49.06,
100464,0,0.00,
100465,0,0.00,
100466,0,0.00,
100467,1,49.19,
100468,0,0.00,
100469,0,0.00,
100470,1,55.48,
100471,0,0.00,
100472,0,0.00,
100473,1,62.31,
100474,3,59.26,
100475,5,33.26,
100476,0,0.00,
100477,4,55.41,
100478,0,0.00,
100479,0,0.00,
100480,0,0.00,
100481,3,50.98,
100482,0,0.00,
100483,0,0.00,
100484,0,0.00,
100485,0,0.00,
100486,5,79.96,
100487,0,0.00,
100488,2,57.29,
100489,0,0.00,
100490,1,38.86,
100491,0,0.00,
100492,0,0.00,
100493,6,42.46,
100494,0,0.00,
100495,3,66.14,
100496,5,126.06,
100497,0,0.00,
100498,6,167.29,
100499,0,0.00,
100500,4,34.79,
100501,0,0.00,
100502,0,0.00,
100503,0,0.00,
100504,6,43.44,
100505,4,56.48,
100506,2,34.61,
100507,0,0.00,
100508,0,0.00,
100509,0,0.00,
100510,6,34.51,
100511,0,0.00,
100512,4,45.60,
100513,6,63.76,
100514,0,0.00,
100515,0,0.00,
100516,0,0.00,
100517,6,38.52,
100518,0,0.00,
100519,0,0.00,
100520,3,47.18,
100521,0,0.00,
100522,0,0.00,
100523,6,46.30,
100524,0,0.00,
100525,0,0.00,
100526,2,71.54,
100527,1,61.68,
100528,0,0.00,
100529,0,0.00,
100530,5,412.06,
100531,0,0.00,
100532,0,0.00,
100533,0,0.00,
100534,0,0.00,
100535,1,214.89,
100536,6,33.15,
100537,0,0.00,
100538,0,0.00,
100539,5,31.21,
100540,0,0.00,
100541,3,37.03,
100542,2,57.54,
100543,0,0.00,
100544,0,0.00,
100545,0,0.00,
100546,0,0.00,
100547,5,88.95,
100548,0,0.00,
100549,0,0.00,
100550,2,50.10,
100551,2,111.81,
100552,5,36.30,
100553,0,0.00,
100554,0,0.00,
100555,0,0.00,
100556,0,0.00,
100557,0,0.00,
100558,0,0.00,
100559,0,0.00,
100560,6,129.13,
100561,0,0.00,
100562,0,0.00,
100563,0,0.00,
100564,0,0.00,
100565,0,0.00,
100566,2,34.17,
100567,6,237.13,
100568,0,0.00,
100569,2,37.74,
100570,0,0.00,
100571,3,45.89,
100572,0,0.00,
100573,0,0.00,
100574,0,0.00,
100575,0,0.00,
100576,0,0.00,
100577,2,48.75,
100578,2,55.69,
100579,2,112.87,
100580,0,0.00,
100581,0,0.00,
100582,4,46.75,
100583,0,0.00,
100584,4,46.68,
100585,0,0.00,
100586,0,0.00,
100587,1,40.69,
100588,0,0.00,
100589,5,200.19,
100590,0,0.00,
100591,0,0.00,
100592,2,44.93,
100593,0,0.00,
100594,1,54.47,
100595,3,277.50,
100596,0,0.00,
100597,0,0.00,
100598,0,0.00,
100599,0,0.00,
100600,1,97.52,
100601,6,104.32,
100602,3,70.51,
100603,0,0.00,
100604,0,0.00,
100605,0,0.00,
100606,5,33.84,
100607,0,0.00,
100608,0,0.00,
100609,0,0.00,
100610,0,0.00,
100611,0,0.00,
100612,1,41.04,
100613,3,41.81,
100614,0,0.00,
100615,6,46.51,
100616,0,0.00,
100617,0,0.00,
100618,0,0.00,
100619,0,0.00,
100620,0,0.00,
100621,4,77.09,
100622,0,0.00,
100623,6,40.98,
100624,3,49.73,
100625,0,0.00,
100626,0,0.00,
100627,4,66.11,
100628,5,98.30,
100629,3,76.95,
100630,0,0.00,
100631,3,35.91,
100632,6,47.55,
100633,0,0.00,
100634,1,30.69,
100635,0,0.00,
100636,3,41.59,
100637,0,0.00,
100638,0,0.00,
100639,0,0.00,
100640,0,0.00,
100641,5,59.62,
100642,0,0.00,
100643,2,48.05,
100644,4,124.62,
100645,1,47.78,
100646,2,47.94,
100647,0,0.00,
100648,6,59.42,
100649,4,65.00,
100650,0,0.00,
100651,4,46.58,
100652,3,64.88,
100653,4,81.01,
100654,1,62.10,
100655,2,44.39,
100656,3,60.15,
100657,0,0.00,
100658,0,0.00,
100659,0,0.00,
100660,6,120.53,
100661,2,92.24,
100662,1,45.94,
100663,0,0.00,
100664,0,0.00,
100665,3,42.68,
100666,5,40.01,
100667,6,38.74,
100668,3,96.38,
100669,4,44.72,
100670,6,34.89,
100671,0,0.00,
100672,0,0.00,
100673,0,0.00,
100674,0,0.00,
100675,3,38.42,
100676,2,36.43,
100677,0,0.00,
100678,1,32.12,
100679,2,88.34,
100680,3,74.33,
100681,0,0.00,
100682,2,126.56,
100683,0,0.00,
100684,2,32.53,
100685,0,0.00,
100686,0,0.00,
100687,0,0.00,
100688,0,0.00,
100689,5,36.96,
100690,0,0.00,
100691,0,0.00,
100692,0,0.00,
100693,0,0.00,
100694,0,0.00,
100695,4,38.91,
100696,3,35.27,
100697,3,57.09,
100698,0,0.00,
100699,0,0.00,
100700,6,71.60,
100701,2,41.37,
100702,2,33.61,
100703,0,0.00,
100704,0,0.00,
100705,0,0.00,
100706,5,45.12,
100707,0,0.00,
100708,0,0.00,
100709,0,0.00,
100710,0,0.00,
100711,0,0.00,
100712,4,67.57,
100713,0,0.00,
100714,1,143.46,
100715,4,31.47,
100716,0,0.00,
100717,0,0.00,
100718,0,0.00,
100719,0,0.00,
100720,0,0.00,
100721,3,101.20,
100722,0,0.00,
100723,3,59.97,
100724,1,40.13,
100725,0,0.00,
100726,1,63.10,
100727,5,66.95,
100728,2,93.64,
100729,0,0.00,
100730,0,0.00,
100731,3,60.56,
100732,0,0.00,
100733,0,0.00,
100734,0,0.00,
100735,4,63.86,
100736,0,0.00,
100737,2,33.22,
100738,0,0.00,
100739,1,32.39,
100740,4,38.87,
100741,4,77.23,
100742,4,75.76,
100743,0,0.00,
100744,0,0.00,
100745,0,0.00,
100746,6,154.76,
100747,4,30.50,
100748,0,0.00,
100749,3,31.79,
100750,0,0.00,
100751,3,45.35,
100752,0,0.00,
100753,0,0.00,
100754,3,47.72,
100755,3,32.15,
100756,0,0.00,
100757,2,49.86,
100758,3,34.29,
100759,4,39.95,
100760,1,35.79,
100761,5,36.41,
100762,6,182.86,
100763,0,0.00,
100764,0,0.00,
100765,0,0.00,
100766,2,56.18,
100767,3,34.70,
100768,0,0.00,
100769,0,0.00,
100770,0,0.00,
100771,6,49.23,
100772,0,0.00,
100773,4,191.26,
100774,0,0.00,
100775,1,33.75,
100776,0,0.00,
100777,0,0.00,
100778,0,0.00,
100779,1,42.60,
100780,0,0.00,
100781,0,0.00,
100782,0,0.00,
100783,0,0.00,
100784,4,87.30,
100785,1,34.07,
100786,0,0.00,
100787,2,33.09,
100788,0,0.00,
100789,0,0.00,
100790,1,128.05,
100791,6,50.51,
100792,6,45.28,
100793,5,74.48,
100794,0,0.00,
100795,1,62.29,
100796,2,34.79,
100797,5,46.56,
100798,6,92.29,
100799,0,0.00,
100800,0,0.00,
100801,4,43.22,
100802,2,56.28,
100803,5,44.24,
100804,0,0.00,
100805,0,0.00,
100806,0,0.00,
100807,2,55.96,
100808,2,40.56,
100809,4,184.69,
100810,2,292.39,
100811,0,0.00,
100812,0,0.00,
100813,0,0.00,
100814,0,0.00,
100815,5,30.34,
100816,0,0.00,
100817,0,0.00,
100818,2,34.30,
100819,4,85.30,
100820,6,39.46,
100821,0,0.00,
100822,6,61.12,
100823,5,77.38,
100824,6,45.14,
100825,0,0.00,
100826,1,40.87,
100827,0,0.00,
100828,0,0.00,
100829,0,0.00,
100830,2,210.82,
100831,0,0.00,
100832,0,0.00,
100833,6,44.63,
100834,3,34.85,
100835,4,161.48,
100836,1,184.95,
100837,6,117.89,
100838,2,70.38,
100839,6,43.72,
100840,3,36.41,
100841,1,47.20,
100842,1,63.96,
100843,0,0.00,
100844,1,46.36,
100845,6,37.10,
100846,0,0.00,
100847,6,30.34,
100848,1,95.77,
100849,0,0.00,
100850,6,39.05,
100851,0,0.00,
100852,0,0.00,
100853,0,0.00,
100854,2,45.09,
100855,3,93.29,
100856,0,0.00,
100857,2,35.55,
100858,0,0.00,
100859,0,0.00,
100860,0,0.00,
100861,1,362.89,
100862,5,31.66,
100863,0,0.00,
100864,0,0.00,
100865,0,0.00,
100866,0,0.00,
100867,0,0.00,
100868,4,46.48,
100869,0,0.00,
100870,0,0.00,
100871,4,42.68,
100872,0,0.00,
100873,3,90.22,
100874,3,39.17,
100875,5,52.68,
100876,0,0.00,
100877,0,0.00,
100878,4,47.35,
100879,5,47.15,
100880,2,35.67,
100881,1,95.06,
100882,0,0.00,
100883,6,47.98,
100884,6,59.85,
100885,4,81.33,
100886,2,35.20,
100887,4,37.10,
100888,5,52.58,
100889,3,56.77,
100890,3,41.50,
100891,1,37.77,
100892,0,0.00,
100893,0,0.00,
100894,0,0.00,
100895,0,0.00,
100896,0,0.00,
100897,0,0.00,
100898,0,0.00,
100899,3,47.89,
100900,4,46.25,
100901,6,115.62,
100902,0,0.00,
100903,6,47.67,
100904,4,104.19,
100905,1,36.65,
100906,2,55.38,
100907,4,60.67,
100908,0,0.00,
100909,5,48.40,
100910,3,81.26,
100911,0,0.00,
100912,0,0.00,
100913,4,153.13,
100914,0,0.00,
100915,6,43.33,
100916,0,0.00,
100917,0,0.00,
100918,0,0.00,
100919,1,35.88,
100920,2,30.39,
100921,0,0.00,
100922,0,0.00,
100923,0,0.00,
100924,0,0.00,
100925,6,99.31,
100926,3,47.75,
100927,5,104.29,
100928,0,0.00,
100929,3,60.71,
100930,2,83.90,
100931,0,0.00,
100932,0,0.00,
100933,3,100.12,
100934,0,0.00,
100935,0,0.00,
100936,0,0.00,
100937,2,59.24,
100938,6,93.19,
100939,0,0.00,
100940,2,44.11,
100941,0,0.00,
100942,3,50.65,
100943,3,43.87,
100944,3,42.02,
100945,0,0.00,
100946,0,0.00,
100947,0,0.00,
100948,3,188.86,
100949,0,0.00,
100950,0,0.00,
100951,0,0.00,
100952,3,49.57,
100953,0,0.00,
100954,4,48.12,
100955,2,72.95,
100956,5,46.83,
100957,0,0.00,
100958,0,0.00,
100959,0,0.00,
100960,5,45.41,
100961,0,0.00,
100962,0,0.00,
100963,5,49.71,
100964,4,153.76,
100965,3,37.91,
100966,6,36.73,
100967,5,90.03,
100968,0,0.00,
100969,0,0.00,
100970,3,36.45,
100971,4,197.27,
100972,0,0.00,
100973,0,0.00,
100974,0,0.00,
100975,4,41.76,
100976,0,0.00,
100977,5,35.37,
100978,6,39.69,
100979,3,91.23,
100980,0,0.00,
100981,0,0.00,
100982,0,0.00,
100983,0,0.00,
100984,6,197.25,
100985,3,44.45,
100986,6,47.91,
100987,1,35.11,
100988,1,42.12,
100989,1,78.52,
100990,0,0.00,
100991,5,39.90,
100992,0,0.00,
100993,0,0.00,
100994,4,45.93,
100995,0,0.00,
100996,6,47.88,
100997,0,0.00,
100998,0,0.00,
100999,3,83.16,
101000,0,0.00,
101001,6,64.61,
101002,5,70.56,
101003,0,0.00,
101004,4,64.30,
101005,2,126.75,
101006,5,44.98,
101007,3,41.92,
101008,0,0.00,
101009,0,0.00,
101010,0,0.00,
101011,0,0.00,
101012,0,0.00,
101013,0,0.00,
101014,0,0.00,
101015,5,31.88,
101016,2,34.68,
101017,0,0.00,
101018,0,0.00,
101019,0,0.00,
101020,0,0.00,
101021,0,0.00,
101022,0,0.00,
101023,0,0.00,
101024,3,50.01,
101025,4,49.50,
101026,0,0.00,
101027,0,0.00,
101028,2,79.98,
101029,6,64.11,
101030,6,31.49,
101031,6,41.56,
101032,2,48.47,
101033,0,0.00,
101034,2,78.54,
101035,3,66.57,
101036,0,0.00,
101037,6,57.87,
101038,0,0.00,
101039,0,0.00,
101040,0,0.00,
101041,0,0.00,
101042,4,32.11,
101043,1,35.37,
101044,0,0.00,
101045,0,0.00,
101046,0,0.00,
101047,0,0.00,
101048,0,0.00,
101049,4,38.82,
101050,5,35.49,
101051,0,0.00,
101052,0,0.00,
101053,0,0.00,
101054,0,0.00,
101055,6,87.88,
101056,0,0.00,
101057,4,50.86,
101058,0,0.00,
101059,5,78.27,
101060,3,57.51,
101061,3,63.02,
101062,0,0.00,
101063,0,0.00,
101064,3,162.60,
101065,4,31.77,
101066,3,43.62,
101067,3,43.09,
101068,4,50.82,
101069,0,0.00,
101070,1,84.65,
101071,0,0.00,
101072,5,404.79,
101073,0,0.00,
101074,0,0.00,
101075,3,31.82,
101076,1,36.70,
101077,2,53.08,
101078,0,0.00,
101079,0,0.00,
101080,4,38.98,
101081,0,0.00,
101082,1,230.65,
101083,0,0.00,
101084,3,42.11,
101085,5,97.09,
101086,4,132.89,
101087,0,0.00,
101088,0,0.00,
101089,0,0.00,
101090,2,57.39,
101091,0,0.00,
101092,0,0.00,
101093,6,37.33,
101094,5,50.97,
101095,1,579.88,
101096,0,0.00,
101097,6,43.18,
101098,2,99.28,
101099,0,0.00,
101100,0,0.00,
101101,0,0.00,
101102,0,0.00,
101103,1,42.59,
101104,4,37.02,
101105,0,0.00,
101106,4,38.72,
101107,0,0.00,
101108,0,0.00,
101109,0,0.00,
101110,6,60.80,
101111,6,52.76,
101112,2,38.36,
101113,5,79.71,
101114,6,52.22,
101115,0,0.00,
101116,0,0.00,
101117,1,41.59,
101118,3,165.43,
101119,0,0.00,
101120,0,0.00,
101121,4,65.12,
101122,5,93.49,
101123,0,0.00,
101124,2,75.87,
101125,0,0.00,
101126,0,0.00,
101127,5,69.04,
101128,3,43.18,
101129,0,0.00,
101130,0,0.00,
101131,0,0.00,
101132,0,0.00,
101133,0,0.00,
101134,1,35.60,
101135,0,0.00,
101136,0,0.00,
101137,2,104.84,
101138,4,56.26,
101139,0,0.00,
101140,2,58.37,
101141,0,0.00,
101142,0,0.00,
101143,6,34.12,
101144,0,0.00,
101145,0,0.00,
101146,2,112.63,
101147,0,0.00,
101148,0,0.00,
101149,0,0.00,
101150,1,48.95,
101151,0,0.00,
101152,0,0.00,
101153,3,36.96,
101154,2,30.68,
101155,0,0.00,
101156,1,32.04,
101157,3,47.73,
101158,0,0.00,
101159,0,0.00,
101160,0,0.00,
101161,2,58.46,
101162,0,0.00,
101163,6,35.93,
101164,0,0.00,
101165,5,58.06,
101166,1,54.39,
101167,0,0.00,
101168,5,38.76,
101169,3,31.78,
101170,0,0.00,
101171,1,80.72,
101172,4,31.47,
101173,1,56.07,
101174,0,0.00,
101175,1,126.00,
101176,2,78.81,
101177,2,40.37,
101178,0,0.00,
101179,5,194.08,
101180,1,49.78,
101181,5,98.33,
101182,5,58.37,
101183,1,129.10,
101184,0,0.00,
101185,2,182.72,
101186,3,55.98,
101187,0,0.00,
101188,0,0.00,
101189,0,0.00,
101190,2,31.67,
101191,6,31.98,
101192,0,0.00,
101193,0,0.00,
101194,0,0.00,
101195,0,0.00,
101196,0,0.00,
101197,1,59.23,
101198,0,0.00,
101199,1,47.41,
101200,0,0.00,
101201,0,0.00,
101202,2,46.22,
101203,5,147.08,
101204,0,0.00,
101205,0,0.00,
101206,4,43.77,
101207,0,0.00,
101208,5,39.13,
101209,3,44.77,
101210,3,52.30,
101211,0,0.00,
101212,0,0.00,
101213,2,33.67,
101214,0,0.00,
101215,5,74.98,
101216,0,0.00,
101217,0,0.00,
101218,0,0.00,
101219,3,44.91,
101220,0,0.00,
101221,0,0.00,
101222,0,0.00,
101223,4,111.17,
101224,6,30.28,
101225,0,0.00,
101226,0,0.00,
101227,0,0.00,
101228,6,72.41,
101229,0,0.00,
101230,4,55.13,
101231,4,46.09,
101232,0,0.00,
101233,0,0.00,
101234,1,76.70,
101235,0,0.00,
101236,0,0.00,
101237,1,36.15,
101238,0,0.00,
101239,0,0.00,
101240,6,38.66,
101241,0,0.00,
101242,6,82.92,
101243,0,0.00,
101244,4,39.25,
101245,4,79.35,
101246,5,74.33,
101247,1,35.16,
101248,2,47.47,
101249,6,122.98,
101250,4,47.87,
101251,0,0.00,
101252,0,0.00,
101253,0,0.00,
101254,2,32.47,
101255,0,0.00,
101256,5,197.23,
101257,0,0.00,
101258,0,0.00,
101259,6,39.95,
101260,0,0.00,
101261,3,30.18,
101262,6,123.71,
101263,3,47.19,
101264,0,0.00,
101265,0,0.00,
101266,2,56.77,
101267,6,67.35,
101268,3,204.61,
101269,0,0.00,
101270,2,51.74,
101271,2,59.29,
101272,0,0.00,
101273,0,0.00,
101274,5,66.10,
101275,0,0.00,
101276,0,0.00,
101277,5,34.50,
101278,3,35.29,
101279,0,0.00,
101280,5,32.83,
101281,6,62.15,
101282,2,114.55,
101283,4,39.53,
101284,5,87.30,
101285,0,0.00,
101286,0,0.00,
101287,1,45.60,
101288,0,0.00,
101289,0,0.00,
101290,0,0.00,
101291,6,60.67,
101292,0,0.00,
101293,1,30.82,
101294,2,30.65,
101295,1,44.23,
101296,0,0.00,
101297,0,0.00,
101298,6,50.42,
101299,3,32.23,
101300,5,51.89,
101301,0,0.00,
101302,3,51.69,
101303,3,44.13,
101304,0,0.00,
101305,1,49.25,
101306,0,0.00,
101307,3,43.92,
101308,0,0.00,
101309,0,0.00,
101310,0,0.00,
101311,6,43.74,
101312,0,0.00,
101313,6,64.62,
101314,0,0.00,
101315,0,0.00,
101316,1,41.69,
101317,6,69.05,
101318,5,37.13,
101319,4,32.65,
101320,0,0.00,
101321,0,0.00,
101322,0,0.00,
101323,0,0.00,
101324,2,42.43,
101325,6,55.27,
101326,0,0.00,
101327,2,43.01,
101328,3,38.77,
101329,0,0.00,
101330,0,0.00,
101331,0,0.00,
101332,0,0.00,
101333,0,0.00,
101334,0,0.00,
101335,0,0.00,
101336,4,34.14,
101337,2,146.36,
101338,5,65.84,
101339,0,0.00,
101340,1,55.93,
101341,5,58.27,
101342,2,48.29,
101343,5,65.26,
101344,0,0.00,
101345,2,31.69,
101346,0,0.00,
101347,0,0.00,
101348,3,49.35,
101349,4,34.28,
101350,4,46.24,
101351,0,0.00,
101352,0,0.00,
101353,6,121.43,
101354,0,0.00,
101355,0,0.00,
101356,0,0.00,
101357,0,0.00,
101358,0,0.00,
101359,0,0.00,
101360,4,39.82,
101361,4,287.95,
101362,2,32.57,
101363,0,0.00,
101364,0,0.00,
101365,0,0.00,
101366,0,0.00,
101367,4,44.98,
101368,1,36.56,
101369,0,0.00,
101370,3,122.89,
101371,6,52.03,
101372,0,0.00,
101373,0,0.00,
101374,0,0.00,
101375,0,0.00,
101376,0,0.00,
101377,0,0.00,
101378,2,54.30,
101379,0,0.00,
101380,0,0.00,
101381,0,0.00,
101382,0,0.00,
101383,4,84.40,
101384,3,37.15,
101385,5,35.49,
101386,0,0.00,
101387,0,0.00,
101388,3,34.00,
101389,0,0.00,
101390,3,90.38,
101391,0,0.00,
101392,4,71.02,
101393,2,51.34,
101394,0,0.00,
101395,0,0.00,
101396,5,60.04,
